SYMBOL,ENSEMBL,ENTREZID
CSTF3-DT,ENSG00000247151,338739
CSTL1,ENSG00000125823,128817
CSTPP1,ENSG00000149179,79096
CT62,ENSG00000225362,196993
CT66,ENSG00000234215,100507468
CT83,ENSG00000204019,203413
CTAGE15,ENSG00000271079,441294
CTAGE3P,ENSG00000232872,220112
CTAGE7P,ENSG00000233122,119437
CTAGE9,ENSG00000236761,643854
CTB-30L5.1,ENSG00000267052,102724339
CTBP1,ENSG00000159692,1487
CTBP1-AS,ENSG00000280927,285463
CTBP1-DT,ENSG00000196810,92070
CTBP2,ENSG00000175029,1488
CTBS,ENSG00000117151,1486
CTC-338M12.4,ENSG00000248275,101928649
CTC1,ENSG00000178971,80169
CTCF,ENSG00000102974,10664
CTCF-DT,ENSG00000259804,107984813
CTDNEP1,ENSG00000175826,23399
CTDP1,ENSG00000060069,9150
CTDSP1,ENSG00000144579,58190
CTDSP2,ENSG00000175215,10106
CTDSPL,ENSG00000144677,10217
CTDSPL2,ENSG00000137770,51496
CTF1,ENSG00000150281,1489
CTH,ENSG00000116761,1491
CTHRC1,ENSG00000164932,115908
CTIF,ENSG00000134030,9811
CTLA4,ENSG00000163599,1493
CTNNA1,ENSG00000044115,1495
CTNNA1-AS1,ENSG00000253404,105379194
CTNNA2,ENSG00000066032,1496
CTNNA3,ENSG00000183230,29119
CTNNAL1,ENSG00000119326,8727
CTNNB1,ENSG00000168036,1499
CTNNBIP1,ENSG00000178585,56998
CTNNBL1,ENSG00000132792,56259
CTNND1,ENSG00000198561,1500
CTNND2,ENSG00000169862,1501
CTNS,ENSG00000040531,1497
CTPS1,ENSG00000171793,1503
CTPS2,ENSG00000047230,56474
CTR9,ENSG00000198730,9646
CTSA,ENSG00000064601,5476
CTSB,ENSG00000164733,1508
CTSC,ENSG00000109861,1075
CTSD,ENSG00000117984,1509
CTSE,ENSG00000196188,1510
CTSF,ENSG00000174080,8722
CTSG,ENSG00000100448,1511
CTSH,ENSG00000103811,1512
CTSK,ENSG00000143387,1513
CTSL,ENSG00000135047,1514
CTSLP3,ENSG00000280913,644021
CTSO,ENSG00000256043,1519
CTSS,ENSG00000163131,1520
CTSV,ENSG00000136943,1515
CTSW,ENSG00000172543,1521
CTSZ,ENSG00000101160,1522
CTTN,ENSG00000085733,2017
CTTNBP2,ENSG00000077063,83992
CTTNBP2NL,ENSG00000143079,55917
CTU1,ENSG00000142544,90353
CTU2,ENSG00000174177,348180
CTXN1,ENSG00000178531,404217
CTXND1,ENSG00000259417,100996492
CUBN,ENSG00000107611,8029
CUEDC1,ENSG00000180891,404093
CUEDC2,ENSG00000107874,79004
CUL1,ENSG00000055130,8454
CUL2,ENSG00000108094,8453
CUL3,ENSG00000036257,8452
CUL4A,ENSG00000139842,8451
CUL4B,ENSG00000158290,8450
CUL5,ENSG00000166266,8065
CUL7,ENSG00000044090,9820
CUL9,ENSG00000112659,23113
CUTA,ENSG00000112514,51596
CUTC,ENSG00000119929,51076
CUX1,ENSG00000257923,1523
CUX2,ENSG00000111249,23316
CWC15,ENSG00000150316,51503
CWC22,ENSG00000163510,57703
CWC25,ENSG00000273559,54883
CWC27,ENSG00000153015,10283
CWF19L1,ENSG00000095485,55280
CWF19L2,ENSG00000152404,143884
CWH43,ENSG00000109182,80157
CX3CL1,ENSG00000006210,6376
CX3CR1,ENSG00000168329,1524
CXADR,ENSG00000154639,1525
CXADRP1,ENSG00000214319,653108
CXCL1,ENSG00000163739,2919
CXCL10,ENSG00000169245,3627
CXCL11,ENSG00000169248,6373
CXCL12,ENSG00000107562,6387
CXCL13,ENSG00000156234,10563
CXCL14,ENSG00000145824,9547
CXCL16,ENSG00000161921,58191
CXCL17,ENSG00000189377,284340
CXCL2,ENSG00000081041,2920
CXCL3,ENSG00000163734,2921
CXCL5,ENSG00000163735,6374
CXCL6,ENSG00000124875,6372
CXCL8,ENSG00000169429,3576
CXCL9,ENSG00000138755,4283
CXCR1,ENSG00000163464,3577
CXCR2,ENSG00000180871,3579
CXCR3,ENSG00000186810,2833
CXCR4,ENSG00000121966,7852
CXCR5,ENSG00000160683,643
CXCR6,ENSG00000172215,10663
CXXC1,ENSG00000154832,30827
CXXC4,ENSG00000168772,80319
CXXC4-AS1,ENSG00000245384,101929468
CXXC5,ENSG00000171604,51523
CXorf38,ENSG00000185753,159013
CXorf58,ENSG00000165182,254158
CYB561,ENSG00000008283,1534
CYB561A3,ENSG00000162144,220002
CYB561D1,ENSG00000174151,284613
CYB561D2,ENSG00000114395,11068
CYB5A,ENSG00000166347,1528
CYB5B,ENSG00000103018,80777
CYB5D2,ENSG00000167740,124936
CYB5R1,ENSG00000159348,51706
CYB5R2,ENSG00000166394,51700
CYB5R3,ENSG00000100243,1727
CYB5R4,ENSG00000065615,51167
CYB5RL,ENSG00000215883,606495
CYBA,ENSG00000051523,1535
CYBB,ENSG00000165168,1536
CYBC1,ENSG00000178927,79415
CYBRD1,ENSG00000071967,79901
CYC1,ENSG00000179091,1537
CYCS,ENSG00000172115,54205
CYFIP1,ENSG00000273749,23191
CYFIP2,ENSG00000055163,26999
CYGB,ENSG00000161544,114757
CYLD,ENSG00000083799,1540
CYLD-AS1,ENSG00000261644,102724907
CYP11A1,ENSG00000140459,1583
CYP17A1-AS1,ENSG00000166272,102724307
CYP19A1,ENSG00000137869,1588
CYP1A1,ENSG00000140465,1543
CYP1B1,ENSG00000138061,1545
CYP1B1-AS1,ENSG00000232973,285154
CYP20A1,ENSG00000119004,57404
CYP21A2,ENSG00000231852,1589
CYP24A1,ENSG00000019186,1591
CYP26A1,ENSG00000095596,1592
CYP26B1,ENSG00000003137,56603
CYP27A1,ENSG00000135929,1593
CYP27B1,ENSG00000111012,1594
CYP27C1,ENSG00000186684,339761
CYP2A13,ENSG00000197838,1553
CYP2A6,ENSG00000255974,1548
CYP2A7,ENSG00000198077,1549
CYP2B6,ENSG00000197408,1555
CYP2C8,ENSG00000138115,1558
CYP2D6,ENSG00000100197,1565
CYP2D8P,ENSG00000226450,1568
CYP2E1,ENSG00000130649,1571
CYP2J2,ENSG00000134716,1573
CYP2R1,ENSG00000186104,120227
CYP2S1,ENSG00000167600,29785
CYP2T3P,ENSG00000268529,163007
CYP2U1,ENSG00000155016,113612
CYP2U1-AS1,ENSG00000245293,101929595
CYP2W1,ENSG00000073067,54905
CYP39A1,ENSG00000146233,51302
CYP3A4,ENSG00000160868,1576
CYP3A5,ENSG00000106258,1577
CYP46A1,ENSG00000036530,10858
CYP4A11,ENSG00000187048,1579
CYP4A22,ENSG00000162365,284541
CYP4B1,ENSG00000142973,1580
CYP4F11,ENSG00000171903,57834
CYP4F12,ENSG00000186204,66002
CYP4F2,ENSG00000186115,8529
CYP4F22,ENSG00000171954,126410
CYP4F3,ENSG00000186529,4051
CYP4F32P,ENSG00000223564,107133497
CYP4F8,ENSG00000186526,11283
CYP4V2,ENSG00000145476,285440
CYP4X1,ENSG00000186377,260293
CYP4Z1,ENSG00000186160,199974
CYP51A1,ENSG00000001630,1595
CYP51A1-AS1,ENSG00000188693,613126
CYP7B1,ENSG00000172817,9420
CYP8B1,ENSG00000180432,1582
CYREN,ENSG00000122783,78996
CYRIA,ENSG00000197872,81553
CYRIB,ENSG00000153310,51571
CYS1,ENSG00000205795,192668
CYSLTR1,ENSG00000173198,10800
CYSLTR2,ENSG00000152207,57105
CYSRT1,ENSG00000197191,375791
CYSTM1,ENSG00000120306,84418
CYTB,ENSG00000198727,4519
CYTH1,ENSG00000108669,9267
CYTH2,ENSG00000105443,9266
CYTH3,ENSG00000008256,9265
CYTH4,ENSG00000100055,27128
CYTIP,ENSG00000115165,9595
CYTL1,ENSG00000170891,54360
CYTOR,ENSG00000222041,112597
CYYR1,ENSG00000166265,116159
CYYR1-AS1,ENSG00000197934,100996571
CZIB,ENSG00000162384,54987
D2HGDH,ENSG00000180902,728294
DAAM1,ENSG00000100592,23002
DAAM2,ENSG00000146122,23500
DAAM2-AS1,ENSG00000235033,100505635
DAB1,ENSG00000173406,1600
DAB2,ENSG00000153071,1601
DAB2IP,ENSG00000136848,153090
DACH1,ENSG00000276644,1602
DACH2,ENSG00000126733,117154
DACT1,ENSG00000165617,51339
DACT2,ENSG00000164488,168002
DACT3,ENSG00000197380,147906
DACT3-AS1,ENSG00000245598,100506068
DAD1,ENSG00000129562,1603
DAG1,ENSG00000173402,1605
DAGLA,ENSG00000134780,747
DAGLB,ENSG00000164535,221955
DALRD3,ENSG00000178149,55152
DANCR,ENSG00000226950,57291
DAND5,ENSG00000179284,199699
DANT2,ENSG00000235244,642776
DAP,ENSG00000112977,1611
DAP3,ENSG00000132676,7818
DAPK1,ENSG00000196730,1612
DAPK2,ENSG00000035664,23604
DAPK3,ENSG00000167657,1613
DAPL1,ENSG00000163331,92196
DAPP1,ENSG00000070190,27071
DARS1,ENSG00000115866,1615
DARS2,ENSG00000117593,55157
DAXX,ENSG00000204209,1616
DAZAP1,ENSG00000071626,26528
DAZAP2,ENSG00000183283,9802
DAZL,ENSG00000092345,1618
DBF4,ENSG00000006634,10926
DBF4B,ENSG00000161692,80174
DBH,ENSG00000123454,1621
DBH-AS1,ENSG00000225756,138948
DBI,ENSG00000155368,1622
DBN1,ENSG00000113758,1627
DBNDD1,ENSG00000003249,79007
DBNDD2,ENSG00000244274,55861
DBNL,ENSG00000136279,28988
DBP,ENSG00000105516,1628
DBR1,ENSG00000138231,51163
DBT,ENSG00000137992,1629
DBX2,ENSG00000185610,440097
DCAF1,ENSG00000145041,9730
DCAF10,ENSG00000122741,79269
DCAF11,ENSG00000100897,80344
DCAF12,ENSG00000198876,25853
DCAF12L2,ENSG00000198354,340578
DCAF13,ENSG00000164934,25879
DCAF15,ENSG00000132017,90379
DCAF16,ENSG00000163257,54876
DCAF17,ENSG00000115827,80067
DCAF4,ENSG00000119599,26094
DCAF4L1,ENSG00000182308,285429
DCAF5,ENSG00000139990,8816
DCAF6,ENSG00000143164,55827
DCAF7,ENSG00000136485,10238
DCAF8,ENSG00000132716,50717
DCAF8-DT,ENSG00000228606,100287049
DCAKD,ENSG00000172992,79877
DCBLD1,ENSG00000164465,285761
DCBLD2,ENSG00000057019,131566
DCC,ENSG00000187323,1630
DCD,ENSG00000161634,117159
DCDC1,ENSG00000170959,341019
DCDC2,ENSG00000146038,51473
DCDC2B,ENSG00000222046,149069
DCHS1,ENSG00000166341,8642
DCHS2,ENSG00000197410,54798
DCK,ENSG00000156136,1633
DCLK1,ENSG00000133083,9201
DCLK2,ENSG00000170390,166614
DCLK3,ENSG00000163673,85443
DCLRE1A,ENSG00000198924,9937
DCLRE1B,ENSG00000118655,64858
DCLRE1C,ENSG00000152457,64421
DCN,ENSG00000011465,1634
DCP1A,ENSG00000272886,55802
DCP1B,ENSG00000151065,196513
DCP2,ENSG00000172795,167227
DCPS,ENSG00000110063,28960
DCST1,ENSG00000163357,149095
DCST2,ENSG00000163354,127579
DCSTAMP,ENSG00000164935,81501
DCT,ENSG00000080166,1638
DCTD,ENSG00000129187,1635
DCTN1,ENSG00000204843,1639
DCTN1-AS1,ENSG00000237737,100189589
DCTN2,ENSG00000175203,10540
DCTN3,ENSG00000137100,11258
DCTN4,ENSG00000132912,51164
DCTN5,ENSG00000166847,84516
DCTN6,ENSG00000104671,10671
DCTN6-DT,ENSG00000271869,118597835
DCTPP1,ENSG00000179958,79077
DCUN1D1,ENSG00000043093,54165
DCUN1D2,ENSG00000150401,55208
DCUN1D3,ENSG00000188215,123879
DCUN1D4,ENSG00000109184,23142
DCUN1D5,ENSG00000137692,84259
DCX,ENSG00000077279,1641
DCXR,ENSG00000169738,51181
DCXR-DT,ENSG00000264569,113523640
DDA1,ENSG00000130311,79016
DDAH1,ENSG00000153904,23576
DDAH2,ENSG00000213722,23564
DDB1,ENSG00000167986,1642
DDB2,ENSG00000134574,1643
DDC,ENSG00000132437,1644
DDHD1,ENSG00000100523,80821
DDHD2,ENSG00000085788,23259
DDI2,ENSG00000197312,84301
DDIAS,ENSG00000165490,220042
DDIT3,ENSG00000175197,1649
DDIT4,ENSG00000168209,54541
DDIT4L,ENSG00000145358,115265
DDN,ENSG00000181418,23109
DDN-AS1,ENSG00000257913,105369758
DDO,ENSG00000203797,8528
DDOST,ENSG00000244038,1650
DDR1,ENSG00000204580,780
DDR2,ENSG00000162733,4921
DDRGK1,ENSG00000198171,65992
DDTL,ENSG00000099974,100037417
DDX1,ENSG00000079785,1653
DDX10,ENSG00000178105,1662
DDX11,ENSG00000013573,1663
DDX11-AS1,ENSG00000245614,100506660
DDX17,ENSG00000100201,10521
DDX18,ENSG00000088205,8886
DDX18P1,ENSG00000259165,319099
DDX19A,ENSG00000168872,55308
DDX19A-DT,ENSG00000261777,100506083
DDX19B,ENSG00000157349,11269
DDX20,ENSG00000064703,11218
DDX20P1,ENSG00000276662,100421369
DDX21,ENSG00000165732,9188
DDX23,ENSG00000174243,9416
DDX24,ENSG00000089737,57062
DDX25,ENSG00000109832,29118
DDX27,ENSG00000124228,55661
DDX28,ENSG00000182810,55794
DDX31,ENSG00000125485,64794
DDX39A,ENSG00000123136,10212
DDX39B,ENSG00000198563,7919
DDX3X,ENSG00000215301,1654
DDX41,ENSG00000183258,51428
DDX42,ENSG00000198231,11325
DDX43,ENSG00000080007,55510
DDX46,ENSG00000145833,9879
DDX47,ENSG00000213782,51202
DDX49,ENSG00000105671,54555
DDX5,ENSG00000108654,1655
DDX50,ENSG00000107625,79009
DDX51,ENSG00000185163,317781
DDX52,ENSG00000278053,11056
DDX54,ENSG00000123064,79039
DDX55,ENSG00000111364,57696
DDX56,ENSG00000136271,54606
DDX59,ENSG00000118197,83479
DDX59-AS1,ENSG00000260088,101929224
DDX6,ENSG00000110367,1656
DDX60,ENSG00000137628,55601
DDX60L,ENSG00000181381,91351
DEAF1,ENSG00000177030,10522
DECR1,ENSG00000104325,1666
DECR2,ENSG00000242612,26063
DEDD,ENSG00000158796,9191
DEDD2,ENSG00000160570,162989
DEF6,ENSG00000023892,50619
DEF8,ENSG00000140995,54849
DEFB1,ENSG00000164825,1672
DEFB109D,ENSG00000254866,503838
DEFB131B,ENSG00000225805,100129216
DEFB132,ENSG00000186458,400830
DEGS1,ENSG00000143753,8560
DEGS2,ENSG00000168350,123099
DEK,ENSG00000124795,7913
DELE1,ENSG00000081791,9812
DELEC1,ENSG00000173077,50514
DENND10,ENSG00000119979,404636
DENND11,ENSG00000257093,57189
DENND1A,ENSG00000119522,57706
DENND1B,ENSG00000213047,163486
DENND1C,ENSG00000205744,79958
DENND2A,ENSG00000146966,27147
DENND2B,ENSG00000166444,6764
DENND2C,ENSG00000175984,163259
DENND2D,ENSG00000162777,79961
DENND3,ENSG00000105339,22898
DENND3-AS1,ENSG00000253210,101927963
DENND4A,ENSG00000174485,10260
DENND4B,ENSG00000198837,9909
DENND4C,ENSG00000137145,55667
DENND5A,ENSG00000184014,23258
DENND5B,ENSG00000170456,160518
DENND5B-AS1,ENSG00000255867,100874249
DENND6A,ENSG00000174839,201627
DENND6B,ENSG00000205593,414918
DENR,ENSG00000139726,8562
DEPDC1,ENSG00000024526,55635
DEPDC1-AS1,ENSG00000234264,101927220
DEPDC1B,ENSG00000035499,55789
DEPDC4,ENSG00000166153,120863
DEPDC5,ENSG00000100150,9681
DEPDC7,ENSG00000121690,91614
DEPP1,ENSG00000165507,11067
DEPTOR,ENSG00000155792,64798
DERA,ENSG00000023697,51071
DERL1,ENSG00000136986,79139
DERL2,ENSG00000072849,51009
DERL3,ENSG00000099958,91319
DES,ENSG00000175084,1674
DESI1,ENSG00000100418,27351
DESI2,ENSG00000121644,51029
DET1,ENSG00000140543,55070
DEUP1,ENSG00000165325,159989
DEXI,ENSG00000182108,28955
DFFA,ENSG00000160049,1676
DFFB,ENSG00000169598,1677
DGAT1,ENSG00000185000,8694
DGAT2,ENSG00000062282,84649
DGCR11,ENSG00000273311,25786
DGCR2,ENSG00000070413,9993
DGCR5,ENSG00000273032,26220
DGCR6,ENSG00000183628,8214
DGCR6L,ENSG00000128185,85359
DGCR8,ENSG00000128191,54487
DGKA,ENSG00000065357,1606
DGKB,ENSG00000136267,1607
DGKD,ENSG00000077044,8527
DGKE,ENSG00000153933,8526
DGKG,ENSG00000058866,1608
DGKH,ENSG00000102780,160851
DGKI,ENSG00000157680,9162
DGKQ,ENSG00000145214,1609
DGKZ,ENSG00000149091,8525
DGKZP1,ENSG00000179611,400126
DGLUCY,ENSG00000133943,80017
DGUOK,ENSG00000114956,1716
DHCR24,ENSG00000116133,1718
DHCR7,ENSG00000172893,1717
DHCR7-DT,ENSG00000254682,129810502
DHDDS,ENSG00000117682,79947
DHDH,ENSG00000104808,27294
DHFR,ENSG00000228716,1719
DHFR2,ENSG00000178700,200895
DHH,ENSG00000139549,50846
DHODH,ENSG00000102967,1723
DHPS,ENSG00000095059,1725
DHRS1,ENSG00000157379,115817
DHRS11,ENSG00000278535,79154
DHRS12,ENSG00000102796,79758
DHRS13,ENSG00000167536,147015
DHRS2,ENSG00000100867,10202
DHRS3,ENSG00000162496,9249
DHRS4,ENSG00000157326,10901
DHRS4-AS1,ENSG00000215256,55449
DHRS4L1,ENSG00000285467,728635
DHRS4L2,ENSG00000187630,317749
DHRS7,ENSG00000100612,51635
DHRS7B,ENSG00000109016,25979
DHRS9,ENSG00000073737,10170
DHRSX,ENSG00000169084,207063
DHTKD1,ENSG00000181192,55526
DHX15,ENSG00000109606,1665
DHX16,ENSG00000204560,8449
DHX29,ENSG00000067248,54505
DHX30,ENSG00000132153,22907
DHX32,ENSG00000089876,55760
DHX33,ENSG00000005100,56919
DHX34,ENSG00000134815,9704
DHX35,ENSG00000101452,60625
DHX36,ENSG00000174953,170506
DHX37,ENSG00000150990,57647
DHX38,ENSG00000140829,9785
DHX40,ENSG00000108406,79665
DHX57,ENSG00000163214,90957
DHX58,ENSG00000108771,79132
DHX8,ENSG00000067596,1659
DHX9,ENSG00000135829,1660
DIABLO,ENSG00000184047,56616
DIAPH1,ENSG00000131504,1729
DIAPH2,ENSG00000147202,1730
DIAPH3,ENSG00000139734,81624
DICER1,ENSG00000100697,23405
DICER1-AS1,ENSG00000235706,400242
DIDO1,ENSG00000101191,11083
DIMT1,ENSG00000086189,27292
DIO1,ENSG00000211452,1733
DIO2,ENSG00000211448,1734
DIO3,ENSG00000197406,1735
DIO3OS,ENSG00000258498,64150
DIP2A,ENSG00000160305,23181
DIP2B,ENSG00000066084,57609
DIP2C,ENSG00000151240,22982
DIP2C-AS1,ENSG00000180525,414235
DIPK1A,ENSG00000154511,388650
DIPK1B,ENSG00000165716,138311
DIPK1C,ENSG00000187773,125704
DIPK2A,ENSG00000181744,205428
DIPK2B,ENSG00000147113,79742
DIRAS1,ENSG00000176490,148252
DIRAS2,ENSG00000165023,54769
DIRAS3,ENSG00000162595,9077
DIRC3,ENSG00000231672,729582
DIS3,ENSG00000083520,22894
DIS3L,ENSG00000166938,115752
DIS3L2,ENSG00000144535,129563
DISC1,ENSG00000162946,27185
DISP1,ENSG00000154309,84976
DISP2,ENSG00000140323,85455
DISP3,ENSG00000204624,57540
DIXDC1,ENSG00000150764,85458
DKC1,ENSG00000130826,1736
DKK1,ENSG00000107984,22943
DKK2,ENSG00000155011,27123
DKK3,ENSG00000050165,27122
DKK4,ENSG00000104371,27121
DKKL1,ENSG00000104901,27120
DLAT,ENSG00000150768,1737
DLC1,ENSG00000164741,10395
DLD,ENSG00000091140,1738
DLEC1,ENSG00000008226,9940
DLEU1,ENSG00000176124,10301
DLEU1-AS1,ENSG00000186047,103689915
DLEU2,ENSG00000231607,8847
DLEU7,ENSG00000186047,220107
DLEU7-AS1,ENSG00000176124,100874074
DLG1,ENSG00000075711,1739
DLG1-AS1,ENSG00000227375,100507086
DLG2,ENSG00000150672,1740
DLG3,ENSG00000082458,1741
DLG3-AS1,ENSG00000231651,100873930
DLG4,ENSG00000132535,1742
DLG5,ENSG00000151208,9231
DLGAP1,ENSG00000170579,9229
DLGAP1-AS5,ENSG00000261520,284215
DLGAP2,ENSG00000198010,9228
DLGAP3,ENSG00000116544,58512
DLGAP4,ENSG00000080845,22839
DLGAP4-AS1,ENSG00000232907,101926987
DLGAP5,ENSG00000126787,9787
DLK1,ENSG00000185559,8788
DLK2,ENSG00000171462,65989
DLL1,ENSG00000198719,28514
DLL3,ENSG00000090932,10683
DLL4,ENSG00000128917,54567
DLST,ENSG00000119689,1743
DLX1,ENSG00000144355,1745
DLX2,ENSG00000115844,1746
DLX2-DT,ENSG00000236651,104326193
DLX3,ENSG00000064195,1747
DLX4,ENSG00000108813,1748
DLX5,ENSG00000105880,1749
DLX6,ENSG00000006377,1750
DM1-AS,ENSG00000267395,109729182
DMAC1,ENSG00000137038,90871
DMAC2,ENSG00000105341,55101
DMAC2L,ENSG00000125375,27109
DMAP1,ENSG00000178028,55929
DMBT1,ENSG00000187908,1755
DMBX1,ENSG00000197587,127343
DMC1,ENSG00000100206,11144
DMD,ENSG00000198947,1756
DMGDH,ENSG00000132837,29958
DMKN,ENSG00000161249,93099
DMP1,ENSG00000152592,1758
DMPK,ENSG00000104936,1760
DMRT1,ENSG00000137090,1761
DMRT2,ENSG00000173253,10655
DMRT3,ENSG00000064218,58524
DMRTA1,ENSG00000176399,63951
DMRTA2,ENSG00000142700,63950
DMRTC2,ENSG00000142025,63946
DMTF1,ENSG00000135164,9988
DMTF1-AS1,ENSG00000224046,101927420
DMTN,ENSG00000158856,2039
DMWD,ENSG00000185800,1762
DMXL1,ENSG00000172869,1657
DMXL2,ENSG00000104093,23312
DNA2,ENSG00000138346,1763
DNAAF1,ENSG00000154099,123872
DNAAF10,ENSG00000243667,116143
DNAAF11,ENSG00000129295,23639
DNAAF2,ENSG00000165506,55172
DNAAF3,ENSG00000167646,352909
DNAAF4,ENSG00000256061,161582
DNAAF5,ENSG00000164818,54919
DNAAF8,ENSG00000166246,146562
DNAAF9,ENSG00000088854,25943
DNAH1,ENSG00000114841,25981
DNAH10,ENSG00000197653,196385
DNAH10OS,ENSG00000250091,642797
DNAH11,ENSG00000105877,8701
DNAH12,ENSG00000174844,201625
DNAH14,ENSG00000185842,127602
DNAH17,ENSG00000187775,8632
DNAH2,ENSG00000183914,146754
DNAH3,ENSG00000158486,55567
DNAH5,ENSG00000039139,1767
DNAH6,ENSG00000115423,1768
DNAH7,ENSG00000118997,56171
DNAH8,ENSG00000124721,1769
DNAH9,ENSG00000007174,1770
DNAI1,ENSG00000122735,27019
DNAI3,ENSG00000162643,126820
DNAI4,ENSG00000152763,79819
DNAI7,ENSG00000118307,55259
DNAJA1,ENSG00000086061,3301
DNAJA2,ENSG00000069345,10294
DNAJA2-DT,ENSG00000261173,119545626
DNAJA3,ENSG00000103423,9093
DNAJA4,ENSG00000140403,55466
DNAJB1,ENSG00000132002,3337
DNAJB11,ENSG00000090520,51726
DNAJB12,ENSG00000148719,54788
DNAJB13,ENSG00000187726,374407
DNAJB14,ENSG00000164031,79982
DNAJB2,ENSG00000135924,3300
DNAJB4,ENSG00000162616,11080
DNAJB5,ENSG00000137094,25822
DNAJB6,ENSG00000105993,10049
DNAJB6P1,ENSG00000254612,387820
DNAJB7,ENSG00000172404,150353
DNAJB9,ENSG00000128590,4189
DNAJC1,ENSG00000136770,64215
DNAJC10,ENSG00000077232,54431
DNAJC11,ENSG00000007923,55735
DNAJC12,ENSG00000108176,56521
DNAJC13,ENSG00000138246,23317
DNAJC14,ENSG00000135392,85406
DNAJC15,ENSG00000120675,29103
DNAJC16,ENSG00000116138,23341
DNAJC17,ENSG00000104129,55192
DNAJC18,ENSG00000170464,202052
DNAJC19,ENSG00000205981,131118
DNAJC2,ENSG00000105821,27000
DNAJC21,ENSG00000168724,134218
DNAJC22,ENSG00000178401,79962
DNAJC24,ENSG00000170946,120526
DNAJC25,ENSG00000059769,548645
DNAJC27,ENSG00000115137,51277
DNAJC27-AS1,ENSG00000224165,729723
DNAJC28,ENSG00000177692,54943
DNAJC3,ENSG00000102580,5611
DNAJC3-DT,ENSG00000247400,100289274
DNAJC30,ENSG00000176410,84277
DNAJC4,ENSG00000110011,3338
DNAJC5,ENSG00000101152,80331
DNAJC5B,ENSG00000147570,85479
DNAJC6,ENSG00000116675,9829
DNAJC7,ENSG00000168259,7266
DNAJC8,ENSG00000126698,22826
DNAJC9,ENSG00000213551,23234
DNAJC9-AS1,ENSG00000236756,414245
DNAL1,ENSG00000119661,83544
DNAL4,ENSG00000100246,10126
DNALI1,ENSG00000163879,7802
DNASE1,ENSG00000213918,1773
DNASE1L1,ENSG00000013563,1774
DNASE1L2,ENSG00000167968,1775
DNASE1L3,ENSG00000163687,1776
DNASE2,ENSG00000105612,1777
DNASE2B,ENSG00000137976,58511
DNER,ENSG00000187957,92737
DNHD1,ENSG00000179532,144132
DNLZ,ENSG00000213221,728489
DNM1,ENSG00000106976,1759
DNM1L,ENSG00000087470,10059
DNM2,ENSG00000079805,1785
DNM3,ENSG00000197959,26052
DNMBP,ENSG00000107554,23268
DNMBP-AS1,ENSG00000227695,100188954
DNMT1,ENSG00000130816,1786
DNMT3A,ENSG00000119772,1788
DNMT3B,ENSG00000088305,1789
DNPEP,ENSG00000123992,23549
DNPH1,ENSG00000112667,10591
DNTTIP1,ENSG00000101457,116092
DNTTIP2,ENSG00000067334,30836
DOC2A,ENSG00000149927,8448
DOC2B,ENSG00000272636,8447
DOCK1,ENSG00000150760,1793
DOCK10,ENSG00000135905,55619
DOCK11,ENSG00000147251,139818
DOCK2,ENSG00000134516,1794
DOCK3,ENSG00000088538,1795
DOCK4,ENSG00000128512,9732
DOCK5,ENSG00000147459,80005
DOCK6,ENSG00000130158,57572
DOCK7,ENSG00000116641,85440
DOCK7-DT,ENSG00000235545,121832810
DOCK8,ENSG00000107099,81704
DOCK8-AS1,ENSG00000183784,157983
DOCK9,ENSG00000088387,23348
DOHH,ENSG00000129932,83475
DOK1,ENSG00000115325,1796
DOK2,ENSG00000147443,9046
DOK3,ENSG00000146094,79930
DOK4,ENSG00000125170,55715
DOK5,ENSG00000101134,55816
DOK6,ENSG00000206052,220164
DOK7,ENSG00000175920,285489
DOLK,ENSG00000175283,22845
DOLPP1,ENSG00000167130,57171
DONSON,ENSG00000159147,29980
DOP1A,ENSG00000083097,23033
DOP1B,ENSG00000142197,9980
DOT1L,ENSG00000104885,84444
DPAGT1,ENSG00000172269,1798
DPCD,ENSG00000166171,25911
DPEP1,ENSG00000015413,1800
DPEP2,ENSG00000167261,64174
DPEP3,ENSG00000141096,64180
DPF1,ENSG00000011332,8193
DPF2,ENSG00000133884,5977
DPF3,ENSG00000205683,8110
DPH1,ENSG00000108963,1801
DPH2,ENSG00000132768,1802
DPH3,ENSG00000154813,285381
DPH5,ENSG00000117543,51611
DPH5-DT,ENSG00000233184,102606465
DPH6,ENSG00000134146,89978
DPH7,ENSG00000148399,92715
DPM1,ENSG00000000419,8813
DPM2,ENSG00000136908,8818
DPM3,ENSG00000179085,54344
DPP10,ENSG00000175497,57628
DPP10-AS1,ENSG00000235026,389023
DPP3,ENSG00000254986,10072
DPP3-DT,ENSG00000255517,101928069
DPP4,ENSG00000197635,1803
DPP6,ENSG00000130226,1804
DPP7,ENSG00000176978,29952
DPP8,ENSG00000074603,54878
DPP9,ENSG00000142002,91039
DPP9-AS1,ENSG00000205790,100131094
DPPA4,ENSG00000121570,55211
DPRXP4,ENSG00000264743,503645
DPT,ENSG00000143196,1805
DPY19L1,ENSG00000173852,23333
DPY19L2,ENSG00000177990,283417
DPY19L3,ENSG00000178904,147991
DPY19L3-DT,ENSG00000267213,400684
DPY19L4,ENSG00000156162,286148
DPY30,ENSG00000162961,84661
DPYD,ENSG00000188641,1806
DPYS,ENSG00000147647,1807
